id,indicator_id,unit_id,scenario_rf_id,maturity_id,frequency_id,limit,interval_id
1083,208,NULL,NULL,NULL,NULL,NULL,1
1084,208,NULL,NULL,NULL,NULL,NULL,2
1085,208,NULL,NULL,NULL,NULL,NULL,3
1086,208,NULL,NULL,NULL,NULL,NULL,4
1087,208,NULL,NULL,NULL,NULL,NULL,5
1088,208,NULL,NULL,NULL,NULL,NULL,6
1089,208,NULL,NULL,NULL,NULL,NULL,7
1090,208,NULL,NULL,NULL,NULL,NULL,8
1091,208,NULL,NULL,NULL,NULL,NULL,9
1092,208,NULL,NULL,NULL,NULL,NULL,10
1093,208,NULL,NULL,NULL,NULL,NULL,11
1094,208,NULL,NULL,NULL,NULL,NULL,12
1095,208,NULL,NULL,NULL,NULL,NULL,13
1096,209,NULL,NULL,NULL,NULL,NULL,1
1097,209,NULL,NULL,NULL,NULL,NULL,2
1098,209,NULL,NULL,NULL,NULL,NULL,3
1099,209,NULL,NULL,NULL,NULL,NULL,4
1100,209,NULL,NULL,NULL,NULL,NULL,5
1101,209,NULL,NULL,NULL,NULL,NULL,6
1102,209,NULL,NULL,NULL,NULL,NULL,7
1103,209,NULL,NULL,NULL,NULL,NULL,8
1104,209,NULL,NULL,NULL,NULL,NULL,9
1105,209,NULL,NULL,NULL,NULL,NULL,10
1106,209,NULL,NULL,NULL,NULL,NULL,11
1107,209,NULL,NULL,NULL,NULL,NULL,12
1108,209,NULL,NULL,NULL,NULL,NULL,13
1109,210,NULL,NULL,NULL,NULL,NULL,1
1110,210,NULL,NULL,NULL,NULL,NULL,2
1111,210,NULL,NULL,NULL,NULL,NULL,3
1112,210,NULL,NULL,NULL,NULL,NULL,4
1113,210,NULL,NULL,NULL,NULL,NULL,5
1114,210,NULL,NULL,NULL,NULL,NULL,6
1115,210,NULL,NULL,NULL,NULL,NULL,7
1116,210,NULL,NULL,NULL,NULL,NULL,8
1117,210,NULL,NULL,NULL,NULL,NULL,9
1118,210,NULL,NULL,NULL,NULL,NULL,10
1119,210,NULL,NULL,NULL,NULL,NULL,11
1120,210,NULL,NULL,NULL,NULL,NULL,12
1121,210,NULL,NULL,NULL,NULL,NULL,13
1122,211,NULL,NULL,NULL,NULL,NULL,1
1123,211,NULL,NULL,NULL,NULL,NULL,2
1124,211,NULL,NULL,NULL,NULL,NULL,3
1125,211,NULL,NULL,NULL,NULL,NULL,4
1126,211,NULL,NULL,NULL,NULL,NULL,5
1127,211,NULL,NULL,NULL,NULL,NULL,6
1128,211,NULL,NULL,NULL,NULL,NULL,7
1129,211,NULL,NULL,NULL,NULL,NULL,8
1130,211,NULL,NULL,NULL,NULL,NULL,9
1131,211,NULL,NULL,NULL,NULL,NULL,10
1132,211,NULL,NULL,NULL,NULL,NULL,11
1133,211,NULL,NULL,NULL,NULL,NULL,12
1134,211,NULL,NULL,NULL,NULL,NULL,13
1135,212,NULL,NULL,NULL,NULL,NULL,1
1136,212,NULL,NULL,NULL,NULL,NULL,2
1137,212,NULL,NULL,NULL,NULL,NULL,3
1138,212,NULL,NULL,NULL,NULL,NULL,4
1139,212,NULL,NULL,NULL,NULL,NULL,5
1140,212,NULL,NULL,NULL,NULL,NULL,6
1141,212,NULL,NULL,NULL,NULL,NULL,7
1142,212,NULL,NULL,NULL,NULL,NULL,8
1143,212,NULL,NULL,NULL,NULL,NULL,9
1144,212,NULL,NULL,NULL,NULL,NULL,10
1145,212,NULL,NULL,NULL,NULL,NULL,11
1146,212,NULL,NULL,NULL,NULL,NULL,12
1147,212,NULL,NULL,NULL,NULL,NULL,13
1148,213,NULL,NULL,NULL,NULL,NULL,1
1149,213,NULL,NULL,NULL,NULL,NULL,2
1150,213,NULL,NULL,NULL,NULL,NULL,3
1151,213,NULL,NULL,NULL,NULL,NULL,4
1152,213,NULL,NULL,NULL,NULL,NULL,5
1153,213,NULL,NULL,NULL,NULL,NULL,6
1154,213,NULL,NULL,NULL,NULL,NULL,7
1155,213,NULL,NULL,NULL,NULL,NULL,8
1156,213,NULL,NULL,NULL,NULL,NULL,9
1157,213,NULL,NULL,NULL,NULL,NULL,10
1158,213,NULL,NULL,NULL,NULL,NULL,11
1159,213,NULL,NULL,NULL,NULL,NULL,12
1160,213,NULL,NULL,NULL,NULL,NULL,13
1161,214,NULL,NULL,NULL,NULL,NULL,1
1162,214,NULL,NULL,NULL,NULL,NULL,2
1163,214,NULL,NULL,NULL,NULL,NULL,3
1164,214,NULL,NULL,NULL,NULL,NULL,4
1165,214,NULL,NULL,NULL,NULL,NULL,5
1166,214,NULL,NULL,NULL,NULL,NULL,6
1167,214,NULL,NULL,NULL,NULL,NULL,7
1168,214,NULL,NULL,NULL,NULL,NULL,8
1169,214,NULL,NULL,NULL,NULL,NULL,9
1170,214,NULL,NULL,NULL,NULL,NULL,10
1171,214,NULL,NULL,NULL,NULL,NULL,11
1172,214,NULL,NULL,NULL,NULL,NULL,12
1173,214,NULL,NULL,NULL,NULL,NULL,13
1174,215,NULL,NULL,NULL,NULL,NULL,1
1175,215,NULL,NULL,NULL,NULL,NULL,2
1176,215,NULL,NULL,NULL,NULL,NULL,3
1177,215,NULL,NULL,NULL,NULL,NULL,4
1178,215,NULL,NULL,NULL,NULL,NULL,5
1179,215,NULL,NULL,NULL,NULL,NULL,6
1180,215,NULL,NULL,NULL,NULL,NULL,7
1181,215,NULL,NULL,NULL,NULL,NULL,8
1182,215,NULL,NULL,NULL,NULL,NULL,9
1183,215,NULL,NULL,NULL,NULL,NULL,10
1184,215,NULL,NULL,NULL,NULL,NULL,11
1185,215,NULL,NULL,NULL,NULL,NULL,12
1186,215,NULL,NULL,NULL,NULL,NULL,13
1187,216,NULL,NULL,NULL,NULL,NULL,1
1188,216,NULL,NULL,NULL,NULL,NULL,2
1189,216,NULL,NULL,NULL,NULL,NULL,3
1190,216,NULL,NULL,NULL,NULL,NULL,4
1191,216,NULL,NULL,NULL,NULL,NULL,5
1192,216,NULL,NULL,NULL,NULL,NULL,6
1193,216,NULL,NULL,NULL,NULL,NULL,7
1194,216,NULL,NULL,NULL,NULL,NULL,8
1195,216,NULL,NULL,NULL,NULL,NULL,9
1196,216,NULL,NULL,NULL,NULL,NULL,10
1197,216,NULL,NULL,NULL,NULL,NULL,11
1198,216,NULL,NULL,NULL,NULL,NULL,12
1199,216,NULL,NULL,NULL,NULL,NULL,13
1200,217,NULL,NULL,NULL,NULL,NULL,1
1201,217,NULL,NULL,NULL,NULL,NULL,2
1202,217,NULL,NULL,NULL,NULL,NULL,3
1203,217,NULL,NULL,NULL,NULL,NULL,4
1204,217,NULL,NULL,NULL,NULL,NULL,5
1205,217,NULL,NULL,NULL,NULL,NULL,6
1206,217,NULL,NULL,NULL,NULL,NULL,7
1207,217,NULL,NULL,NULL,NULL,NULL,8
1208,217,NULL,NULL,NULL,NULL,NULL,9
1209,217,NULL,NULL,NULL,NULL,NULL,10
1210,217,NULL,NULL,NULL,NULL,NULL,11
1211,217,NULL,NULL,NULL,NULL,NULL,12
1212,217,NULL,NULL,NULL,NULL,NULL,13
1213,218,NULL,NULL,NULL,NULL,NULL,1
1214,218,NULL,NULL,NULL,NULL,NULL,2
1215,218,NULL,NULL,NULL,NULL,NULL,3
1216,218,NULL,NULL,NULL,NULL,NULL,4
1217,218,NULL,NULL,NULL,NULL,NULL,5
1218,218,NULL,NULL,NULL,NULL,NULL,6
1219,218,NULL,NULL,NULL,NULL,NULL,7
1220,218,NULL,NULL,NULL,NULL,NULL,8
1221,218,NULL,NULL,NULL,NULL,NULL,9
1222,218,NULL,NULL,NULL,NULL,NULL,10
1223,218,NULL,NULL,NULL,NULL,NULL,11
1224,218,NULL,NULL,NULL,NULL,NULL,12
1225,218,NULL,NULL,NULL,NULL,NULL,13
1226,219,NULL,NULL,NULL,NULL,NULL,1
1227,219,NULL,NULL,NULL,NULL,NULL,2
1228,219,NULL,NULL,NULL,NULL,NULL,3
1229,219,NULL,NULL,NULL,NULL,NULL,4
1230,219,NULL,NULL,NULL,NULL,NULL,5
1231,219,NULL,NULL,NULL,NULL,NULL,6
1232,219,NULL,NULL,NULL,NULL,NULL,7
1233,219,NULL,NULL,NULL,NULL,NULL,8
1234,219,NULL,NULL,NULL,NULL,NULL,9
1235,219,NULL,NULL,NULL,NULL,NULL,10
1236,219,NULL,NULL,NULL,NULL,NULL,11
1237,219,NULL,NULL,NULL,NULL,NULL,12
1238,219,NULL,NULL,NULL,NULL,NULL,13
1239,220,NULL,NULL,NULL,NULL,NULL,1
1240,220,NULL,NULL,NULL,NULL,NULL,2
1241,220,NULL,NULL,NULL,NULL,NULL,3
1242,220,NULL,NULL,NULL,NULL,NULL,4
1243,220,NULL,NULL,NULL,NULL,NULL,5
1244,220,NULL,NULL,NULL,NULL,NULL,6
1245,220,NULL,NULL,NULL,NULL,NULL,7
1246,220,NULL,NULL,NULL,NULL,NULL,8
1247,220,NULL,NULL,NULL,NULL,NULL,9
1248,220,NULL,NULL,NULL,NULL,NULL,10
1249,220,NULL,NULL,NULL,NULL,NULL,11
1250,220,NULL,NULL,NULL,NULL,NULL,12
1251,220,NULL,NULL,NULL,NULL,NULL,13
