data_date,rf_id,price,id
2017-01-06,34,2.91362143545124,445
2017-02-06,34,3.10425824566428,446
2017-03-09,34,4,447
2017-04-09,34,5.88848188151838,448
2017-05-10,34,5.87,449
2017-06-10,34,8.93081685523408,450
2017-07-10,34,9.62586431117268,451
2017-08-10,34,12.87830751685,452
2017-09-10,34,10.145584807249,453
2017-10-10,34,13.4387435114411,454
2017-11-10,34,13.2001859952016,455
2016-11-05,35,0.949237779628152,456
2016-12-06,35,0.994662948773648,457
2017-01-06,35,0.96518344292973,458
2017-02-06,35,0.981124027179369,459
2017-03-09,35,0.911764157608658,460
2017-04-09,35,0.881326453366797,461
2017-05-10,35,0.85,462
2017-06-10,35,0.8881171234142,463
2017-07-10,35,0.901994124909282,464
2017-08-10,35,0.909397882960377,465
2017-09-10,35,0.941503583819445,466
2017-10-10,35,0.881919459123309,467
2017-11-10,35,0.87956621280172,468
2016-11-05,36,0.0928171687109599,469
2016-12-06,36,0.0880195796932747,470
2017-01-06,36,0.103112162566773,471
2017-02-06,36,0.0971023274457803,472
2017-03-09,36,0.0698255038458813,473
2017-04-09,36,0.0528235207765198,474
2017-05-10,36,0.0595534836410744,475
2017-06-10,36,0.0379659229893375,476
2017-07-10,36,0.0354638785985091,477
2017-08-10,36,0.0255451794786581,478
2017-09-10,36,0.0304581784083173,479
2017-10-10,36,0.025421327068188,480
2017-11-10,36,0.0230640499904955,481
2016-11-05,37,0.846326017368347,482
2016-12-06,37,0.891481435238917,483
2017-01-06,37,0.854671025134837,484
2017-02-06,37,0.846430246689804,485
2017-03-09,37,0.832365785787095,486
2017-04-09,37,0.823426654731011,487
2017-05-10,37,0.830422411577666,488
2017-06-10,37,0.860567308976543,489
2017-07-10,37,0.866932779677276,490
2017-08-10,37,0.883979204906544,491
2017-09-10,37,0.908312089789933,492
2017-10-10,37,0.857464662953093,493
2017-11-10,37,0.87956621280172,494
2016-11-05,38,0.720723863666088,495
2016-12-06,38,0.674247774224466,496
2017-01-06,38,0.813285161965885,497
2017-02-06,38,0.791571471567156,498
2017-03-09,38,0.634821734184173,499
2017-04-09,38,0.482603277876769,500
2017-05-10,38,0.6,501
2017-06-10,38,0.36555494031057,502
2017-07-10,38,0.240303310173982,503
2017-08-10,38,0.169852759859968,504
2017-09-10,38,0.210068742180939,505
2017-10-10,38,0.175633570868272,506
2017-11-10,38,0.212647910720243,507
2009-11-30,39,2472993,508
2009-11-30,40,2504119,509
2009-11-30,41,2531781,510
2009-11-30,42,2556269,511
2009-11-30,43,2543034,512
2009-11-30,44,2521333,513
2009-11-30,45,2502225,514
2009-11-30,46,2491270,515
2009-11-30,47,2483483,516
2009-11-30,48,-70040,517
2009-11-30,49,-38915,518
2009-11-30,50,-11253,519
2009-11-30,51,13235,520
2009-11-30,52,0,521
2009-11-30,53,-21701,522
2009-11-30,54,-40809,523
2009-11-30,55,-51764,524
2009-11-30,56,-59550,525
2009-11-30,57,-0.0275,526
2009-11-30,58,-0.0153,527
2009-11-30,59,-0.0044,528
2009-11-30,60,0.0052,529
2009-11-30,61,0,530
2009-11-30,62,-0.0085,531
2009-11-30,63,-0.016,532
2009-11-30,64,-0.0204,533
2009-11-30,65,-0.0234,534
2009-11-30,66,9185076,535
2009-11-30,67,8586296,536
2009-11-30,68,8049183,537
2009-11-30,69,7573586,538
2009-11-30,70,7145507,539
2009-11-30,71,6756258,540
2009-11-30,72,6404725,541
2009-11-30,73,6076433,542
2009-11-30,74,5772669,543
2009-11-30,75,2039569,544
2009-11-30,76,1440790,545
2009-11-30,77,903677,546
2009-11-30,78,428079,547
2009-11-30,79,0,548
2009-11-30,80,-389249,549
2009-11-30,81,-740781,550
2009-11-30,82,-1069073,551
2009-11-30,83,-1372838,552
2009-11-30,84,0.285,553
2009-11-30,85,0.202,554
2009-11-30,86,0.126,555
2009-11-30,87,0.06,556
2009-11-30,88,0,557
2009-11-30,89,-0.054,558
2009-11-30,90,-0.104,559
2009-11-30,91,-0.15,560
2009-11-30,92,-0.192,561
